Pin Designator,Pin Display Name,Electrical Type,Pin Alternate Name,Grouping
1,P10_3,I/O,TAUD0O9/RI3C0SCL/RI3C0SCL/PWGC3O/ADCK0TRG1/TAPA0VN/CSIH1SSI/EXTCLK1O/RLIN37RX/IRQ15/RLIN37RX/TAUD0I7/SSIF0TXD/TAUD1I15/ETH0_MII_TXD1/TAUD2I9/ETH0_RMII_TXD1/TAUD1O13/TAUD2O1/RSENT3RX/RSENT3SPCO,Port Pins_10
2,P10_4,I/O,TAUD0O11/RLIN311RX/IRQ19/CANXL1TXD/TAUD0I9/RSENT3SPCO/ADCK0TRG2/TAPA0WP/ERRORIN/PWGC53O/RLIN311RX/ADCK0SEL0/SSIF0BCK/SSIF0BCK/ETH0_MII_TXD0/TAUD2I11/ETH0_RMII_TXD0/CSIH5SI/TAUD2O15,Port Pins_10
3,P10_5,I/O,TAUD0O1/CANXL1RXD/IRQ7/RLIN311TX/TAUD0I11/ERROROUT/TAPA0WN/RSENT4RX/RSENT4SPCO/PWGC54O/CANXL1RXD/ADCK0SEL1/SSIF0LRCK/SSIF0FS/ETH0_MII_TX_CLK/TAUD2I13/ETH0_RevMII_CLK/CSIH5SC/CSIH5SC/TAUD2O13,Port Pins_10
4,P10_15,I/O,CSIH3RYI/CSIH3RYO/PWGC24O/RLIN314RX/IRQ22/ADCK1END0/RLIN314RX/CSIH4CSS2/CSIH5DCS/CSIH5SO/IRQ22,Port Pins_10
5,P11_0,I/O,CSIH2RYI/CSIH2RYO/ADCK1TRG2/PWGC25O/RLIN314TX/PWGC30O/CSIH4CSS1/CSIH5SSI/IRQ23/CSIH3SI,Port Pins_11
6,P11_8,I/O,RLIN35TX/PWGC48O/TAUD2O1/ADCK1SEL0/CSIH5DCS/CSIH5SO/TAUD2I11,Port Pins_11
7,P11_9,I/O,RLIN35RX/IRQ13/PWGC49O/TAUD2O15/ADCK1SEL1/CSIH5SSI/RLIN35RX/TAUD2I13,Port Pins_11
8,P11_10,I/O,RLIN315RX/IRQ23/PWGC50O/TAUD2O13/ADCK1SEL2/CSIH5CSS2/RLIN315RX/TAUD2I15,Port Pins_11
9,P11_11,I/O,RLIN315TX/PWGC51O/TAUD2O2/CSIH5CSS3/TAUD2I0,Port Pins_11
10,P11_12,I/O,PWGC52O/TAUD2O4/TAUD2I2,Port Pins_11
11,ISOVCL,Power,,Positive_Z_VCL_ISOVCL
12,VSS,Power,,Negative_X_VSS_ZPins
